Username,SteamID,Steam Profile URL,Logs,Wins-Losses-Ties,Winrate,Rounds Won-Lost-Tied,Round winrate,Kills,Deaths,Assists,Time played,Damage,Damage taken,Heals received,Airshots,Medkit score,Healing from medkits,Backstabs,Headshots,Headshot kills,Sentry score,Healing,Capture points captured,Intelligences captured,Übers,Drops,Advantages lost,Deaths after über,Deaths before über,Kills per 30 minutes,Deaths per 30 minutes,Assists per 30 minutes,Damage per minute,Damage taken per minute,Heals received per minute,Airshots per 30 minutes,Medkit score per 30 minutes,Healing from medkits per minute,Backstabs per 30 minutes,Headshots per 30 minutes,Headshot kills per 30 minutes,Sentry score per 30 minutes,Capture points captured per 30 minutes,Intelligences captured per 30 minutes,Healing per minute,Übers per 30 minutes,Drops per 30 minutes,Advantages lost per 30 minutes,Deaths after über per 30 minutes,Deaths before über per 30 minutes
Kami,76561198346478792,https://steamcommunity.com/profiles/76561198346478792,3123,1550-1275-298,54.40%,7918-6886-1314,53.20%,"54,044","45,401","26,238",1242:32:20,"17,903,960","15,976,937","12,506,836","1,162","74,059","2,199,035",164,0,398,0,"5,668,537","19,581",0,"2,153",194,219,522,70,21.7,18.3,10.6,240,214,168,0.5,29.8,29.5,0.1,0.0,0.2,0.0,7.9,0.0,76,0.9,0.1,0.1,0.2,0.0
Hwro,76561198979494052,https://steamcommunity.com/profiles/76561198979494052,4106,2211-1637-258,56.99%,8281-6785-573,54.78%,"68,205","52,525","33,104",1394:28:53,"21,839,720","18,413,315","10,740,491","1,496","103,828","3,114,401",261,0,"1,292",0,"5,381,682","18,058",110,"2,463",155,187,560,78,24.5,18.8,11.9,261,220,128,0.5,37.2,37.2,0.1,0.0,0.5,0.0,6.5,0.0,64,0.9,0.1,0.1,0.2,0.0
tlm,76561198178457461,https://steamcommunity.com/profiles/76561198178457461,3864,1935-1781-148,51.99%,5821-5517-469,51.29%,"71,443","44,146","19,713",1270:11:27,"22,687,313","15,867,925","9,640,224",74,"40,996","984,634",118,0,"31,621",0,"778,831","10,125",0,268,42,47,48,13,28.1,17.4,7.8,298,208,126,0.0,16.1,12.9,0.0,0.0,12.4,0.0,4.0,0.0,10,0.1,0.0,0.0,0.0,0.0
shinsu,76561199112655950,https://steamcommunity.com/profiles/76561199112655950,3024,1331-1414-279,48.63%,6197-6410-975,49.22%,"43,526","41,262","18,913",1124:01:00,"18,159,155","16,115,689","13,453,875","2,416","104,909","3,295,942",159,0,"1,136",0,"2,098,704","8,497",33,977,34,44,277,41,19.4,18.4,8.4,269,239,199,1.1,46.7,48.9,0.1,0.0,0.5,0.0,3.8,0.0,31,0.4,0.0,0.0,0.1,0.0
Ta5K,76561198939558155,https://steamcommunity.com/profiles/76561198939558155,5316,2572-2502-242,50.66%,7829-7664-548,50.51%,"70,660","83,494","19,854",1719:38:19,"26,399,468","20,757,153","8,898,563","2,381","128,650","3,681,975","23,093",0,"2,255",0,"4,505,262","9,043",25,"1,722",175,193,385,54,20.5,24.3,5.8,256,201,86,0.7,37.4,35.7,6.7,0.0,0.7,0.0,2.6,0.0,44,0.5,0.1,0.1,0.1,0.0
r4bbit,76561198299604510,https://steamcommunity.com/profiles/76561198299604510,3170,1753-1316-101,56.89%,4723-3783-83,55.47%,"39,650","30,639","25,488",983:59:54,"14,201,747","11,420,806","6,515,217",932,"50,369","1,556,438",395,0,296,0,"2,696,141","5,219",2,"1,077",88,192,203,23,20.1,15.6,13.0,241,193,110,0.5,25.6,26.4,0.2,0.0,0.2,0.0,2.7,0.0,46,0.5,0.0,0.1,0.1,0.0
redmo,76561198180890982,https://steamcommunity.com/profiles/76561198180890982,4129,1956-2079-94,48.51%,5735-6161-126,48.23%,"61,587","62,519","30,166",1344:39:14,"21,471,942","22,349,301","10,635,730",406,"68,500","1,947,830","2,133",0,"3,773",0,"3,869,509","8,106",80,"1,740",185,167,459,60,22.9,23.2,11.2,266,277,132,0.2,25.5,24.1,0.8,0.0,1.4,0.0,3.0,0.0,48,0.6,0.1,0.1,0.2,0.0
Gregor,76561198364820146,https://steamcommunity.com/profiles/76561198364820146,35,7-27-1,21.43%,22-62-0,26.19%,318,511,403,10:16:10,"105,140","168,459","52,607",1,399,"13,674",0,0,0,0,"193,505",93,0,81,19,8,35,6,15.5,24.9,19.6,171,273,85,0.0,19.4,22.2,0.0,0.0,0.0,0.0,4.5,0.0,314,3.9,0.9,0.4,1.7,0.3
Schmoo,76561198215473168,https://steamcommunity.com/profiles/76561198215473168,15,2-13-0,13.33%,13-41-0,24.07%,131,301,67,4:56:55,"57,724","69,871","41,365",0,568,"13,887",0,0,0,0,0,84,0,0,0,0,0,0,13.2,30.4,6.8,194,235,139,0.0,57.4,46.8,0.0,0.0,0.0,0.0,8.5,0.0,0,0.0,0.0,0.0,0.0,0.0
Harry,76561198046899720,https://steamcommunity.com/profiles/76561198046899720,2426,1206-1138-82,51.40%,3818-3586-278,51.51%,"19,646","28,032","19,149",824:03:23,"7,567,590","9,385,589","3,060,155",305,"43,859","1,080,805","6,711",0,584,0,"27,864,151","6,177",0,"11,449",770,"1,756","2,128",190,11.9,17.0,11.6,153,190,62,0.2,26.6,21.9,4.1,0.0,0.4,0.0,3.7,0.0,564,6.9,0.5,1.1,1.3,0.1
